sample,metric,TP,FP,FN,prec,rec,f1
SAMN11056345,pan_ass_diff,426,0,367440,1.0,0.001,0.002
SAMN16357205,pangenome_mix,0,27801,8731,0.0,0.0,0.0
SAMN16357205,pangenome_skes,0,27801,8731,0.0,0.0,0.0
SAMN16357205,pangenome_uni,0,27801,8731,0.0,0.0,0.0
SAMN16357205,skesa,0,29121,8731,0.0,0.0,0.0
SAMN16357205,unicycler,0,26652,8731,0.0,0.0,0.0
SAMN16357205,pan_ske_diff,0,2248,8731,0.0,0.0,0.0
SAMN16357205,pan_uni_diff,0,1149,8731,0.0,0.0,0.0
SAMN16357205,pan_ass_diff,0,0,8731,0.0,0.0,0.0
SAMN16357453,pangenome_mix,273228,412573,57868,0.398,0.825,0.537
SAMN16357453,pangenome_skes,267530,418271,51798,0.39,0.838,0.532
SAMN16357453,pangenome_uni,266138,419663,29878,0.388,0.899,0.542
SAMN16357453,skesa,236571,0,98861,1.0,0.705,0.827
SAMN16357453,unicycler,295309,1970380,13567,0.13,0.956,0.229
SAMN16357453,pan_ske_diff,46130,409068,273198,0.101,0.144,0.119
SAMN16357453,pan_uni_diff,384,121970,295632,0.003,0.001,0.002
SAMN16357453,pan_ass_diff,2021,109307,329075,0.018,0.006,0.009
SAMN16357454,pangenome_mix,154621,3142,68353,0.98,0.693,0.812
SAMN16357454,pangenome_skes,154618,3145,66893,0.98,0.698,0.815
SAMN16357454,pangenome_uni,154616,3147,66391,0.98,0.7,0.816
SAMN16357454,skesa,7039,0,215528,1.0,0.032,0.061
SAMN16357454,unicycler,158557,0,63506,1.0,0.714,0.833
SAMN16357454,pan_ske_diff,150967,3145,70544,0.98,0.682,0.804
SAMN16357454,pan_uni_diff,0,2978,221007,0.0,0.0,0.0
SAMN16357454,pan_ass_diff,5,2973,222969,0.002,0.0,0.0
SAMN16357455,pangenome_mix,488594,1898953,10416,0.205,0.979,0.339
SAMN16357455,pangenome_skes,422625,1964922,8835,0.177,0.98,0.3
SAMN16357455,pangenome_uni,475852,1911695,6293,0.199,0.987,0.332
SAMN16357455,skesa,458532,2052357,21491,0.183,0.955,0.307
SAMN16357455,unicycler,495740,1438210,4762,0.256,0.99,0.407
SAMN16357455,pan_ske_diff,6455,586249,425005,0.011,0.015,0.013
SAMN16357455,pan_uni_diff,0,595648,482145,0.0,0.0,0.0
SAMN16357455,pan_ass_diff,3379,343174,495631,0.01,0.007,0.008
SAMN11056344,pangenome_mix,304191,488307,11915,0.384,0.962,0.549
SAMN11056344,pangenome_skes,300129,492369,10179,0.379,0.967,0.544
SAMN11056344,pangenome_uni,300905,491593,8017,0.38,0.974,0.546
SAMN11056344,skesa,305124,0,11882,1.0,0.963,0.981
SAMN11056344,unicycler,313724,476434,2070,0.397,0.993,0.567
SAMN11056344,pan_ske_diff,8947,485931,301361,0.018,0.029,0.022
SAMN11056344,pan_uni_diff,0,396678,308922,0.0,0.0,0.0
SAMN11056344,pan_ass_diff,1258,393392,314848,0.003,0.004,0.004
SAMN16357452,pangenome_mix,241216,145342,11013,0.624,0.956,0.755
SAMN16357452,pangenome_skes,236187,150371,9923,0.611,0.96,0.747
SAMN16357452,pangenome_uni,236159,150399,2690,0.611,0.989,0.755
SAMN16357452,skesa,221824,0,25054,1.0,0.899,0.947
SAMN16357452,unicycler,237559,1211569,2058,0.164,0.991,0.281
SAMN16357452,pan_ske_diff,16597,150371,229513,0.099,0.067,0.08
SAMN16357452,pan_uni_diff,0,64149,238849,0.0,0.0,0.0
SAMN16357452,pan_ass_diff,0,59092,252229,0.0,0.0,0.0
SAMN16357464,pangenome_mix,236583,59347,20490,0.799,0.92,0.856
SAMN16357464,pangenome_skes,229042,66888,19601,0.774,0.921,0.841
SAMN16357464,pangenome_uni,227408,68522,12842,0.768,0.947,0.848
SAMN16357464,skesa,243581,0,7764,1.0,0.969,0.984
SAMN16357464,unicycler,211867,0,31093,1.0,0.872,0.932
SAMN16357464,pan_ske_diff,3156,64222,245487,0.047,0.013,0.02
SAMN16357464,pan_uni_diff,22043,65885,218207,0.251,0.092,0.134
SAMN16357464,pan_ass_diff,3264,54044,253809,0.057,0.013,0.021
SAMN04014852,pangenome_mix,255911,53637,29361,0.827,0.897,0.86
SAMN04014852,pangenome_skes,247922,61626,28185,0.801,0.898,0.847
SAMN04014852,pangenome_uni,251613,57935,23379,0.813,0.915,0.861
SAMN04014852,skesa,231630,22119,61984,0.913,0.789,0.846
SAMN04014852,unicycler,268426,874819,26561,0.235,0.91,0.373
SAMN04014852,pan_ske_diff,32316,30337,243791,0.516,0.117,0.191
SAMN04014852,pan_uni_diff,20903,14309,254089,0.594,0.076,0.135
SAMN04014852,pan_ass_diff,2437,5222,282835,0.318,0.009,0.017
SAMEA3357268,pangenome_mix,388390,489747,8443,0.442,0.979,0.609
SAMEA3357268,pangenome_skes,382831,495306,6814,0.436,0.983,0.604
SAMEA3357268,pangenome_uni,377946,500191,5454,0.43,0.986,0.599
SAMEA3357268,skesa,389458,305715,19737,0.56,0.952,0.705
SAMEA3357268,unicycler,398100,1522802,5549,0.207,0.986,0.343
SAMEA3357268,pan_ske_diff,12784,366787,376861,0.034,0.033,0.033
SAMEA3357268,pan_uni_diff,1721,166797,381679,0.01,0.004,0.006
SAMEA3357268,pan_ass_diff,3624,154953,393209,0.023,0.009,0.013
SAMN10163190,pangenome_mix,282005,123145,23321,0.696,0.924,0.794
SAMN10163190,pangenome_skes,276988,128162,20389,0.684,0.931,0.789
SAMN10163190,pangenome_uni,275753,129397,18152,0.681,0.938,0.789
SAMN10163190,skesa,301211,264501,0,0.532,1.0,0.695
SAMN10163190,unicycler,296551,265033,1447,0.528,0.995,0.69
SAMN10163190,pan_ske_diff,0,7615,297377,0.0,0.0,0.0
SAMN10163190,pan_uni_diff,1447,8643,292458,0.143,0.005,0.01
SAMN10163190,pan_ass_diff,0,0,305326,0.0,0.0,0.0
SAMN07312488,pangenome_mix,347462,1019406,21402,0.254,0.942,0.4
SAMN07312488,pangenome_skes,322241,1044627,17784,0.236,0.948,0.378
SAMN07312488,pangenome_uni,314258,1052610,14764,0.23,0.955,0.371
SAMN07312488,skesa,351270,1408459,19175,0.2,0.948,0.33
SAMN07312488,unicycler,328655,1219306,11146,0.212,0.967,0.348
SAMN07312488,pan_ske_diff,2865,47089,337160,0.057,0.008,0.015
SAMN07312488,pan_uni_diff,0,578703,329022,0.0,0.0,0.0
SAMN07312488,pan_ass_diff,0,1229,368864,0.0,0.0,0.0
SAMN03996301,pangenome_mix,230178,614550,13254,0.272,0.946,0.423
SAMN03996301,pangenome_skes,223140,621588,11452,0.264,0.951,0.413
SAMN03996301,pangenome_uni,223798,620930,8361,0.265,0.964,0.416
SAMN03996301,skesa,240501,0,0,1.0,1.0,1.0
SAMN03996301,unicycler,238068,350333,0,0.405,1.0,0.576
SAMN03996301,pan_ske_diff,0,615679,234592,0.0,0.0,0.0
SAMN03996301,pan_uni_diff,0,615021,232159,0.0,0.0,0.0
SAMN03996301,pan_ass_diff,0,608641,243432,0.0,0.0,0.0
SAMN04014847,pangenome_mix,203826,393857,79914,0.341,0.718,0.462
SAMN04014847,pangenome_skes,198365,399318,74606,0.332,0.727,0.456
SAMN04014847,pangenome_uni,198655,399028,70669,0.332,0.738,0.458
SAMN04014847,skesa,205237,0,78588,1.0,0.723,0.839
SAMN04014847,unicycler,214815,548289,64533,0.282,0.769,0.412
SAMN04014847,pan_ske_diff,12621,395059,260350,0.031,0.046,0.037
