	sample	tool	precision	recall	f1
197	SAMN03024573	0.pbf.pan.uni	0.9818740741115263	0.9985653830530088	0.9901493907102431
198	SAMN04014855	0.pbf.pan.uni	0.9997312848672489	0.9133794811308167	0.9546065585657949
199	SAMN02786856	0.pbf.pan.uni	1.0	0.9646400038618426	0.9820017936778996
200	SAMN16357501	0.pbf.pan.uni	0.060983446252706575	1.0	0.1149564518995925
201	SAMN16357457	0.pbf.pan.uni	0.7904267608154499	0.9712903354792275	0.8715745283949731
202	SAMN16357468	0.pbf.pan.uni	0.9892919983242564	0.9713542952103592	0.9802410918872249
203	SAMN16357450	0.pbf.pan.uni	0.9846388008834551	0.9957003998460844	0.9901387069270282
204	SAMN11056346	0.pbf.pan.uni	0.9879027030074128	0.9992587481967624	0.9935482773673796
205	SAMN16357466	0.pbf.pan.uni	0.9100495844681891	0.9588128616750995	0.9337950453773295
206	SAMN16357459	0.pbf.pan.uni	0.0	0.0	0.0
207	SAMN16357461	0.pbf.pan.uni	0.9935254463293577	0.9922317742627584	0.9928781888982662
208	SAMN04014847	0.pbf.pan.uni	0.9883355933905881	0.8768063744783235	0.92923644777435
209	SAMEA3357328	0.pbf.pan.uni	0.9715006917530212	1.0	0.9855443579775578
210	SAMN16357467	0.pbf.pan.uni	0.9616931860596928	0.9138570874959769	0.9371651045227518
211	SAMN16357458	0.pbf.pan.uni	0.9909018137800426	0.9938512150703978	0.9923743229767515
212	SAMN16357451	0.pbf.pan.uni	0.9863991550379965	0.9469557334295744	0.9662750909158665
213	SAMN16357456	0.pbf.pan.uni	0.9672441217435737	0.9778619307695833	0.9725240463795257
214	SAMN11056490	0.pbf.pan.uni	0.863137718491708	0.7236243209292461	0.7872477786775228
215	SAMN10163228	0.pbf.pan.uni	0.3084209109965441	0.9250039823713694	0.4625990158823733
216	SAMN07312483	0.pbf.pan.uni	0.9934579267508316	0.9686723780726805	0.9809086073999985
217	SAMEA3357077	0.pbf.pan.uni	0.9799702668441248	0.9766505167488712	0.9783075755275543
218	SAMEA3357272	0.pbf.pan.uni	0.9773206574928653	0.9797089208647913	0.9785133319188061
219	SAMN16357470	0.pbf.pan.uni	0.9698039145074455	0.9805956399360591	0.9751699214577215
220	SAMN16357448	0.pbf.pan.uni	0.9868238271418158	0.9884688507425674	0.987645653954423
221	SAMN04014858	0.pbf.pan.uni	0.6350514931062554	0.5346256771751191	0.5805274193072085
222	SAMN04014860	0.pbf.pan.uni	1.0	1.0	1.0
223	SAMN04014856	0.pbf.pan.uni	1.0	0.8597566832747942	0.9245905026251847
224	SAMN03024583	0.pbf.pan.uni	0.9459777586479506	0.849699124726477	0.895257360581919
225	SAMN02991226	0.pbf.pan.uni	0.9632825351500667	0.7302588235294117	0.8307391694214323
226	SAMN16357245	0.pbf.pan.uni	0.992346887194937	0.9850917028376446	0.9887059854499852
227	SAMN16357453	0.pbf.pan.uni	0.9876351546292608	0.9713934381925301	0.9794469688196143
228	SAMN11056345	0.pbf.pan.uni	0.9758775867161663	0.9679283543678445	0.9718867162715579
229	SAMN16357454	0.pbf.pan.uni	0.9144044713584834	0.9934255476070893	0.952278508738639
230	SAMN16357462	0.pbf.pan.uni	0.0	0.0	0.0
231	SAMN16357465	0.pbf.pan.uni	0.9937818019124751	0.8865579759166554	0.9371127422762977
232	SAMN16357464	0.pbf.pan.uni	0.9861953953768472	0.9747304890738814	0.9804294264057257
233	SAMN16357463	0.pbf.pan.uni	0.9910154514488819	0.9713494257183812	0.981083896112623
